Term	TermType	en	de	es	fr	it	ja-JP	ko	pl	pt-BR	ru	zh-Hans	zh-Hant
RelicType/_4024_TOWER_PRICE_BALANCE_DESC	RelicType	All 1x1 towers cost +5 and all larger towers cost -10. This effect does not activate if only 1x1 towers are in your loadout.	Alle 1x1-Türme kosten 5 mehr, alle größeren Türme 10 weniger. Hat keinen Effekt, wenn sich in deiner Turmsammlung nur 1x1-Türme befinden.	Todas las torres 1x1 cuestan +5 y todas las torres más grandes cuestan -10. Este efecto no ese activa si solo tienes torres 1x1 en tu conjunto.	Les tours 1x1 coûtent +5 et les tours plus grandes coûtent -10. Cet effet ne s'active pas si votre équipement ne contient que des tours 1x1.	Tutte le torri 1x1 costano +5 e tutte le torri più grandi costano -10. Questo effetto non si attiva se nel tuo equipaggiamento sono presenti solo torri 1x1.	全ての1×1タワーのコストが+5、それ以外のタワーのコストが-10される。編成に1×1タワーしか存在しない場合、この効果は発動しない。	모든 1x1 타워 비용이 +5 증가하고 이보다 큰 모든 타워 비용이 -10 감소합니다. 이 효과는 로드아웃에 1x1 타워만 있으면, 활성화되지 않습니다.	Wszystkie wieże 1x1 kosztują +5, a wszystkie większe wieże kosztują -10. Efekt ten nie aktywuje się, jeśli w twoim zestawie znajdują się wyłącznie wieże 1x1.	Todas as torres 1x1 custam +5 de ouro, e todas as torres maiores custam -10 de ouro. Este efeito não é ativado se o seu conjunto de torres contiver apenas torres 1×1.	Все башни 1х1 стоят на 5 дороже, а все более крупные — на 10 дешевле. Эффект не действует, если в вашем наборе есть только башни 1х1.	所有1x1炮塔的造价+5，所有非1x1炮塔的造价-10。如果身上只有1x1炮塔的话不会发动效果。	所有1x1砲塔的造價+5，所有非1x1砲塔的造價-10。如果身上只有1x1砲塔的話不會發動效果
RelicType/_4025_ELEMENT_MASTER	RelicType	Elemental Blueprint	Element-Bauplan	Plano elemental	Plan élémentaire	Progetto elementale	属性図面	원소 청사진	Schemat Żywiołów	Projeto Elemental	Чертеж стихий	元素设计图	元素設計圖
RelicType/_4025_ELEMENT_MASTER_DESC	RelicType	When you have towers with five or more types of elemental on the field, all towers gain +10% damage.	Befinden sich Türme mit mindestens fünf Elementen auf dem Spielfeld, verursachen alle Türme 10 % mehr Schaden.	Cuando tienes torres con cinco o más tipos de elementos sobre el terreno, todas las torres obtienen +10 % de daño.	Si vous avez des tours de 5 types élémentaires ou plus sur le terrain, dégâts +10 % pour toutes les tours.	Quando sul campo sono presenti torri con cinque o più tipi di elementi, tutte le torri ottengono +10% di danno.	フィールド上に5種類以上のタワーがある場合、全てのタワーのダメージが+10%される。	필드에 다섯 종류 이상의 원소 타워가 있다면, 모든 타워의 피해량이 +10% 증가합니다.	Gdy na polu bitwy znajdują się wieże z co najmniej pięcioma rodzajami żywiołów, wszystkie wieże zyskują +10% obrażeń.	Quando houver no campo torres de cinco ou mais elementos diferentes, todas as torres recebem +10% de dano.	Когда на поле размещены башни пяти или более разных стихий, урон всех башен увеличивается на 10%.	当你的场上有大于等于五种属性的炮塔，所有炮塔伤害+10%	當你的場上有五種以上屬性的砲塔時，所有砲塔傷害+10%
RelicType/_4026_VOODOO_DOLL	RelicType	Voodoo Doll	Voodoo-Puppe	Muñeca de vudú	Poupée vaudou	Bambola voodoo	お守り人形	부두인형	Lalka Voodoo	Boneca de Voodoo	Кукла вуду	巫毒玩偶	巫毒玩偶
RelicType/_4026_VOODOO_DOLL_DESC	RelicType	When your tower crits, deal 50% of the damage as [ARCANE] damage to the highest HP monster within 10 tiles.	Trifft dein Turm kritisch, erleidet das Monster mit den meisten LP innerhalb von 10 Feldern 50 % des Schadens als [ARCANE]-Schaden.	Cuando tu torre asesta un crítico, inflige 50 % del daño como daño [ARCANE] al monstruo con más PS en un radio de 10 casillas.	Quand votre tour réalise un coup crit., inflige 50 % des dégâts sous forme de dégâts [ARCANE] au monstre ayant le plus de PV dans un rayon de 10 cases.	Quando la tua torre infligge un colpo critico, infliggi il 50% del danno come danno [ARCANE] al mostro con il numero più alto di HP entro 10 caselle.	タワーがクリティカルヒットを繰り出した際、10タイル以内の一番HPがあるモンスターに対して50%の[ARCANE]ダメージを与える。	타워가 치명타 공격을 할 때마다 10타일 안의 가장 체력이 높은 적에게 50% [ARCANE] 피해를 줍니다.	Gdy twoja wieża zadaje trafienie krytyczne, zadaje 50% tych obrażeń jako obrażenia [ARCANE] potworowi o najwyższym poziomie zdrowia w promieniu 10 pól.	Quando uma de suas torres causa um acerto crítico, ela causa 50% de dano de [ARCANE] ao monstro com a maior Vida dentro de 10 casas de distância.	При критическом ударе башни 50% урона наносится в виде [ARCANE] монстру с наибольшим запасом здоровья в радиусе 10 клеток.	当你的炮台爆击时，对10格内生命值最高的怪物造成伤害值50%的[ARCANE]伤害	當你的砲塔爆擊時，對10格內生命值最高的怪物造成傷害值50%的[ARCANE]傷害
RelicType/_4027_ENERGY_SAVING_DEVICE	RelicType	Energy Storage System	Energie­speicherung	Sistema de almacenamiento de energía	Stockage énergétique	Sistema di accumulo di energia	エネルギー保管装置	에너지 저장 시스템	System Magazynowania Energii	Sistema de Armazenamento de Energia	Система накопления энергии	蓄能系统	蓄能系統
RelicType/_4027_ENERGY_SAVING_DEVICE_DESC	RelicType	Towers that do not attack for more than 3 seconds will score a critical hit on their next attack.	Türme, die mehr als 3 Sek. nicht angreifen, treffen mit ihrem nächsten Angriff kritisch.	Las torres que no ataquen durante más de 3 segundos siempre asestarán un golpe crítico en su siguiente ataque.	Les tours n'attaquant pas pendant plus de 3 s réalisent un coup crit. à l'attaque suivante.	Le torri che non attaccano per più di 3 secondi infliggeranno un colpo critico al loro prossimo attacco.	タワーが攻撃せずに3秒以上経過した場合、次の攻撃が必ずクリティカルヒットになる。	3초 이상 공격하지 않은 타워는 다음 공격 시 치명타를 적중시킵니다.	Wieże, które nie atakują przez ponad 3 sekundy, zadają trafienie krytyczne przy następnym ataku.	Torres que ficarem mais de 3 segundos sem atacar causarão um acerto crítico no próximo ataque.	Башни, не атаковавшие дольше 3 секунд, наносят критический урон следующим ударом.	当你的炮台超过3秒没攻击，下一次攻击会100%爆击	當你的砲塔超過3秒沒攻擊，下一次攻擊會100%爆擊
RelicType/_4028_EVERFREEZE_GEM	RelicType	Permafrost Gem	Permafrost-Edelstein	Gema del permafrost	Gemme de permafrost	Gemma del permafrost	パーマフロスト･ジェム	영구동토 보석	Klejnot Wiecznej Zmarzliny		Самоцвет вечной мерзлоты	永霜宝石	永霜寶石
RelicType/_4028_EVERFREEZE_GEM_DESC	RelicType	[CHILL] effects last twice as long.	[CHILL] hält doppelt so lange an.	Los efectos de [CHILL] duran el doble.	Vos effets [CHILL] durent 2x plus longtemps.	Gli effetti [CHILL] durano il doppio del tempo.	[CHILL]効果の時間が倍増する。	[CHILL] 효과가 두 배 더 오래 지속됩니다.	Efekty [CHILL] trwają dwa razy dłużej.	Efeitos de [CHILL] duram o dobro de tempo.	Длительность эффектов [CHILL] увеличена вдвое.	你的[CHILL]效果持续时间加倍	你的[CHILL]效果持續時間加倍
RelicType/_4029_BOOK_OF_INFINITY	RelicType	Tome of Endlessness	Endloser Wälzer	Tomo de infinidad	Livre de l'infini	Libro dell’Infinito	無限の学術書	무한의 책	Tom Nieskończoności	Livro do Infinito	Фолиант бесконечности	无尽之书	無盡之書
RelicType/_4029_BOOK_OF_INFINITY_DESC	RelicType	When building walls with three or fewer tiles, they immediately lock in place and you draw a card. Can trigger up to three times per round.	Mauern, die aus höchstens drei Feldern bestehen, wird die Mauer sofort fixiert. Dann ziehst du eine Karte. Kann pro Runde bis zu dreimal ausgelöst werden.	Al construir paredes de tres o menos casillas, se fijan inmediatamente en ese sitio y robas una carta. Se puede activar hasta tres veces por ronda.	Quand vous bâtissez un mur de 3 cases ou moins, il se verrouille immédiatement et vous tirez une carte. Peut se déclencher jusqu'à 3x par round.	Quando costruisci muri di tre o meno caselle, questi si fissano immediatamente in posizione e peschi una carta. Può attivarsi fino a tre volte per round.	3タイル以下のサイズのブロックを設置すると即座にロックされ、カードが1枚ドローされる。1ラウンドにつき3回まで発動可能。	타일 3개 이하로 벽을 건설할 때, 즉시 자리에 고정되고 카드를 뽑습니다. 라운드마다 최대 3번 발동할 수 있습니다.	Podczas budowania murów na trzech lub mniej polach natychmiast się one ustabilizują, a ty dobierasz kartę. Efekt może zadziałać maksymalnie trzy razy na rundę.	Ao construir paredes com 3 casas ou menos, elas se fixam imediatamente, e você compra uma carta. Pode ser ativado até 3 vezes por rodada.	При возведении стен размером в три клетки или меньше они сразу фиксируются на месте, а вы берете карту. Срабатывает до трех раз за раунд.	当你建造少于等于三格的墙壁时，墙壁会立即锁定，然后抽一张牌。每回合最多触发三次。	當你建造三格以下的牆壁時，牆壁會立即鎖定，然後抽一張牌。每回合最多觸發三次
RelicType/_4030_LIZARD_FANG	RelicType	Giant Lizard Fang	Riesiger Echsenzahn	Colmillo de lagarto gigante	Croc de lézard géant	Zanna di lucertola gigante	大トカゲの牙	거대한 도마뱀 송곳니	Kieł Wielkiego Jaszczura	Presa do Lagarto Gigante	Клык гигантской ящерицы	巨蜥毒牙	巨蜥毒牙
RelicType/_4030_LIZARD_FANG_DESC	RelicType	Poisoned monsters gain 1% [VULNERABLE] each second, up to 20% (5% for Bosses). This effect resets when the poison expires.	Vergiftete Monster erhalten jede Sek. 1 % [VULNERABLE] (max. 20 % / 5 % bei Bossen). Dieser Effekt wird zurückgesetzt, sobald das Gift seine Wirkung verliert.	Los monstruos envenenados reciben 1 % de [VULNERABLE] cada segundo, hasta un 20 % (5 % para jefes). Este efecto se restablece cuando se agota el veneno.	Les monstres empoisonnés gagnent 1 % de [VULNERABLE] chaque seconde, jusqu'à 20 % (5 % pour les boss). Effet réinitialisé quand le poison expire.	I mostri avvelenati acquisiscono l’1% di [VULNERABLE] ogni secondo, fino al 20% (5% per i boss). Questo effetto si azzera quando il veleno svanisce.	毒状態にあるモンスターに毎秒1%の[VULNERABLE]を最大で20%（ボス相手には5%）まで与える。この効果は毒が切れるとリセットされる。	중독된 적에게 매초 1% [VULNERABLE] 효과를 적용하며, 최대 20%(보스는 5%) 적용합니다. 이 효과는 중독이 사라지면 초기화됩니다.	Zatrute potwory zyskują 1% [VULNERABLE] co sekundę, maksymalnie do 20% (5% w przypadku bossów). Efekt ten resetuje się po wygaśnięciu trucizny.	Monstros [C5]envenenados[C0] recebem 1% de [VULNERABLE] por segundo, até um máximo de 20% (5% para Chefes). Este efeito é redefinido quando o veneno expira.	Отравленные монстры получают статус [VULNERABLE], увеличивающийся на 1% каждую секунду, вплоть до 20% (до 5% для боссов). Эффект сбрасывается, когда действие яда заканчивается.	当怪物处于中毒状态时，每秒会增加1%的[VULNERABLE]，最高20% (对Boss最高5%)。当中毒状态消失时，[VULNERABLE]也会重置。	當怪物處於中毒狀態時，每秒會增加1%的[VULNERABLE]，最高20% (對Boss最高5%)。當中毒狀態消失時，[VULNERABLE]也會重置。
RelicType/_4031_ERROR_CYCLOPEDIA	RelicType	Debugging Encyclopedia	Debug-Enzyklopädie	Enciclopedia de programación	Manuel de débogage	Enciclopedia della riparazione	デバッグ大百科	디버깅 백과사전	Encyklopedia Debugowania	Enciclopédia da Depuração	Энциклопедия отладки	除错百科全书	除錯百科全書
RelicType/_4031_ERROR_CYCLOPEDIA_DESC	RelicType	Halves the duration of malfunction effects on towers and boosts their damage by 50% for 10 seconds after the effect ends.	Halbiert die Dauer von Fehlfunktionen bei Türmen und erhöht danach 10 Sek. lang deren Schaden um 50 %.	Reduce la duración de los efectos de interrupción en las torres y potencia su daño un 50 % durante 10 segundos cuando se termina el efecto.	Durée des effets de panne des tours -50 % et dégâts +50 % pendant 10 s quand l'effet se termine.	Dimezza la durata degli effetti di malfunzionamento sulle torri e ne aumenta il danno del 50% per 10 secondi al termine dell’effetto.	タワーの動作不良の効果時間を半減させ、効果終了後、10秒の間ダメージを50%ブーストする。	타워의 오작동 효과 지속시간이 절반이 되고 효과 종료 후 10초 동안 타워의 피해량이 50% 증가합니다.	Zmniejsza o połowę czas trwania efektów awarii wież i zwiększa zadawane przez nie obrażenia o 50% na 10 sekund po zakończeniu efektu.	Reduz pela metade a duração dos efeitos de falha nas torres e aumenta o dano delas em 50% por 10 segundos após o fim do efeito.	Вдвое сокращает длительность сбоев у башен и повышает их урон на 50% в течение 10 секунд после прекращения сбоя.	砲塔受到怪物造成的故障效果时，持续时间减半，并且在效果结束后获得增伤50%，持续10秒	砲塔受到怪物造成的故障效果時，持續時間減半，並且在效果結束後獲得增傷50%，持續10秒
